R,P,region,max_rbm_residual,mean_rbm_residual
16,26,mature lower,2.163955e-06,1.8698925e-06
16,25,mature lower,2.16086e-06,1.86962975e-06
16,24,mature lower,2.220358e-06,1.94190325e-06
16,23,mature lower,2.255909e-06,2.0469675e-06
16,22,mature lower,2.231243e-06,1.9741167500000003e-06
16,21,mature lower,2.212355e-06,1.93768375e-06
16,20,mature lower,2.160094e-06,1.9513405000000002e-06
16,19,mature lower,2.26038e-06,1.9519909999999997e-06
16,18,mature lower,2.166045e-06,1.9574592499999997e-06
16,17,mature lower,2.267754e-06,1.96515675e-06
16,16,mature lower,2.210825e-06,1.9523830000000003e-06
16,15,mature lower,2.1883e-06,1.9176492500000002e-06
16,14,mature lower,2.152954e-06,1.86841725e-06
16,13,mature lower,2.23588e-06,1.94219e-06
16,12,mature lower,2.206296e-06,1.9642647500000002e-06
16,11,mature lower,2.149868e-06,1.91616025e-06
16,10,mature lower,2.20289e-06,1.9438845e-06
16,9,mature lower,2.207065e-06,1.98556175e-06
16,8,mature lower,2.271828e-06,1.92781025e-06
16,7,mature lower,2.222545e-06,1.95975e-06
16,6,mature lower,2.09735e-06,1.92172775e-06
16,5,mature lower,2.19232e-06,1.9595862499999997e-06
16,4,mature lower,2.243188e-06,1.96335125e-06
16,3,mature lower,2.210168e-06,1.9256195e-06
16,2,mature lower,2.205399e-06,1.9713875e-06
16,1,mature lower,2.189707e-06,1.9487445e-06
16,0,mature lower,2.263054e-06,1.9370844999999997e-06
16,45,first upper,0.00051,0.00048550000000000004
16,46,second upper,2.10492e-06,2.0864512500000002e-06
16,47,mature upper,1.961392e-06,1.8165900000000003e-06
16,48,mature upper,2.349319e-06,2.0376925e-06
16,49,mature upper,2.351895e-06,2.07148075e-06
16,50,mature upper,2.308932e-06,2.03634725e-06
16,51,mature upper,2.063793e-06,1.8937297499999999e-06
16,52,mature upper,2.184299e-06,1.94088075e-06
16,53,mature upper,2.15333e-06,1.9122387500000003e-06
16,54,mature upper,2.13837e-06,1.934089e-06
16,55,mature upper,2.245833e-06,1.9617835e-06
16,56,mature upper,2.217192e-06,1.980012e-06
16,57,mature upper,2.256579e-06,1.95921075e-06
16,58,mature upper,2.174123e-06,1.929104e-06
16,59,mature upper,2.121142e-06,1.93016275e-06
16,60,mature upper,2.228912e-06,1.990263e-06
16,61,mature upper,2.182262e-06,1.94001675e-06
16,62,mature upper,2.165207e-06,1.87213675e-06
16,63,mature upper,2.157626e-06,1.869417e-06
16,64,mature upper,2.217413e-06,1.942333e-06
16,65,mature upper,2.258694e-06,2.04906325e-06
16,66,mature upper,2.234698e-06,1.976204e-06
16,67,mature upper,2.203199e-06,1.94030875e-06
16,68,mature upper,2.211465e-06,1.97275e-06
16,69,mature upper,2.261654e-06,1.96312775e-06
16,70,mature upper,2.256147e-06,1.99237525e-06
16,71,mature upper,2.256557e-06,1.984638e-06
16,72,mature upper,2.210017e-06,1.9392574999999998e-06
16,73,mature upper,2.108455e-06,1.8895385000000002e-06
16,74,mature upper,2.144292e-06,1.8649885000000001e-06
16,75,mature upper,2.219202e-06,1.8891315e-06
16,76,mature upper,2.274926e-06,1.94217425e-06
16,77,mature upper,2.300048e-06,1.99022575e-06
16,78,mature upper,2.217359e-06,1.95031775e-06
16,79,mature upper,2.194431e-06,1.95779825e-06
16,80,mature upper,2.196287e-06,1.8891357500000001e-06
16,81,mature upper,2.268745e-06,1.9303555e-06
16,82,mature upper,2.311497e-06,1.9907155e-06
16,83,mature upper,2.206754e-06,1.94977525e-06
16,84,mature upper,2.259597e-06,1.98174975e-06
16,85,mature upper,2.171493e-06,1.9682005e-06
16,86,mature upper,2.245691e-06,1.9836915000000003e-06
16,87,mature upper,2.320915e-06,1.98696325e-06
16,88,mature upper,2.214106e-06,1.97439225e-06
15,43,first lower,0.000508,0.000484
15,42,second lower,2.110488e-06,2.0194825000000004e-06
15,41,mature lower,1.945663e-06,1.78278625e-06
15,40,mature lower,2.318929e-06,2.0211394999999997e-06
15,39,mature lower,2.312088e-06,2.0560399999999997e-06
