R,P,region,rbm_cycles,baseline_cycles,cycle_speedup,cycle_saved,rbm_time_s,baseline_time_s,time_speedup,time_saved_s,max_abs_energy_diff
0,0,mature lower,16,84,5.25,68,1.38,14.2,10.289855072463768,12.82,1.3325451853063441e-13
0,1,mature lower,17,84,4.9411764705882355,67,1.43,14.6,10.20979020979021,13.17,1.503241975342462e-13
0,2,mature lower,17,84,4.9411764705882355,67,1.47,14.1,9.591836734693878,12.629999999999999,1.1438072711200675e-13
0,3,mature lower,18,84,4.666666666666667,66,1.52,14.399999999999999,9.473684210526315,12.879999999999999,1.0827450047656839e-13
0,4,mature lower,19,84,4.421052631578948,65,1.54,14.6,9.48051948051948,13.059999999999999,1.5190626534433704e-13
0,5,mature lower,18,84,4.666666666666667,66,1.52,14.5,9.539473684210526,12.98,1.5920598173124745e-13
0,6,mature lower,17,84,4.9411764705882355,67,1.42,14.0,9.859154929577466,12.58,2.2143398226148747e-13
0,7,mature lower,17,84,4.9411764705882355,67,1.42,14.2,10.0,12.78,1.9809154316874356e-13
0,8,mature lower,19,84,4.421052631578948,65,1.5899999999999999,13.799999999999999,8.679245283018869,12.209999999999999,1.6669998714746725e-13
0,9,mature lower,18,84,4.666666666666667,66,1.52,14.6,9.605263157894736,13.08,9.472977957614148e-14
0,10,mature lower,16,84,5.25,68,1.38,14.0,10.144927536231885,12.620000000000001,1.9337309531408664e-13
0,11,mature lower,17,84,4.9411764705882355,67,1.47,14.5,9.863945578231293,13.03,1.6506240818614515e-13
0,12,mature lower,17,84,4.9411764705882355,67,1.45,14.299999999999999,9.86206896551724,12.85,1.4679923943106132e-13
0,13,mature lower,18,84,4.666666666666667,66,1.52,15.1,9.93421052631579,13.58,1.162403506782539e-13
0,14,mature lower,18,84,4.666666666666667,66,1.49,14.899999999999999,9.999999999999998,13.409999999999998,1.9442780718748054e-13
0,15,mature lower,16,84,5.25,68,1.4,17.5,12.5,16.1,1.49741330446318e-13
0,16,mature lower,17,84,4.9411764705882355,67,1.42,14.899999999999999,10.492957746478872,13.479999999999999,1.7363888105137448e-13
0,17,mature lower,17,84,4.9411764705882355,67,1.45,15.1,10.413793103448276,13.65,1.7469359292476838e-13
0,18,mature lower,18,84,4.666666666666667,66,1.54,14.799999999999999,9.610389610389609,13.259999999999998,1.2898015988582756e-13
0,19,mature lower,18,84,4.666666666666667,66,1.47,15.0,10.204081632653061,13.53,1.9345636204093353e-13
0,20,mature lower,18,84,4.666666666666667,66,1.52,14.799999999999999,9.736842105263158,13.28,2.1380119896718952e-13
0,21,mature lower,18,84,4.666666666666667,66,1.42,15.299999999999999,10.774647887323944,13.879999999999999,2.458588888032409e-13
0,22,mature lower,18,84,4.666666666666667,66,1.49,14.399999999999999,9.66442953020134,12.909999999999998,1.0658141036401503e-13
0,23,mature lower,18,84,4.666666666666667,66,1.54,15.2,9.870129870129869,13.66,1.6286971771251046e-13
0,24,mature lower,17,84,4.9411764705882355,67,1.42,15.5,10.91549295774648,14.08,1.6595058660584527e-13
0,25,mature lower,18,84,4.666666666666667,66,1.47,15.399999999999999,10.476190476190476,13.929999999999998,1.0294542995836764e-13
0,26,mature lower,17,84,4.9411764705882355,67,1.42,15.6,10.985915492957746,14.18,2.1668777883121493e-13
0,27,mature lower,17,84,4.9411764705882355,67,1.43,15.6,10.90909090909091,14.17,1.2362333379201118e-13
0,28,mature lower,18,84,4.666666666666667,66,1.52,15.6,10.263157894736842,14.08,1.4049872376631356e-13
0,29,mature lower,18,84,4.666666666666667,66,1.5,14.799999999999999,9.866666666666665,13.299999999999999,1.0894063429134349e-13
0,30,mature lower,18,84,4.666666666666667,66,1.51,15.899999999999999,10.52980132450331,14.389999999999999,1.4224732503009818e-13
0,31,mature lower,17,84,4.9411764705882355,67,1.43,16.099999999999998,11.258741258741258,14.669999999999998,2.258748743599881e-13
0,32,mature lower,17,84,4.9411764705882355,67,1.42,15.1,10.633802816901408,13.68,1.5201728764679956e-13
0,33,mature lower,18,84,4.666666666666667,66,1.49,15.899999999999999,10.671140939597315,14.409999999999998,1.1296519275560968e-13
0,34,mature lower,18,84,4.666666666666667,66,1.49,15.399999999999999,10.335570469798657,13.909999999999998,1.8895995879120164e-13
0,35,mature lower,16,84,5.25,68,1.4,16.0,11.428571428571429,14.6,1.8582357874663558e-13
0,36,mature lower,17,84,4.9411764705882355,67,1.49,15.7,10.536912751677852,14.209999999999999,1.4674372827983007e-13
0,37,mature lower,17,84,4.9411764705882355,67,1.49,15.5,10.40268456375839,14.01,1.5074053116848063e-13
0,38,mature lower,19,84,4.421052631578948,65,1.5599999999999998,15.899999999999999,10.192307692307692,14.339999999999998,2.1294077612310502e-13
0,39,mature lower,18,84,4.666666666666667,66,1.52,16.099999999999998,10.592105263157894,14.579999999999998,1.6447954109821694e-13
0,40,mature lower,18,84,4.666666666666667,66,1.52,15.2,10.0,13.68,2.328692794151266e-13
0,41,mature lower,18,84,4.666666666666667,66,1.5899999999999999,16.099999999999998,10.125786163522012,14.509999999999998,1.8185453143360064e-13
0,42,second lower,16,84,5.25,68,1.47,16.5,11.224489795918368,15.03,1.5668022435022522e-13
0,43,first lower,102,84,0.8235294117647058,-18,9.18,15.7,1.710239651416122,6.52,1.3070100557399655e-13
0,44,center seed,119,97,0.8151260504201681,-22,10.2,17.8,1.7450980392156865,7.600000000000001,2.853273173286652e-14
0,45,first upper,102,84,0.8235294117647058,-18,9.139999999999999,15.299999999999999,1.6739606126914661,6.16,1.6087131626818518e-13
0,46,second upper,16,84,5.25,68,1.47,14.7,10.0,13.229999999999999,1.6084356069256955e-13
0,47,mature upper,18,84,4.666666666666667,66,1.5899999999999999,14.7,9.245283018867925,13.11,1.3539169785303784e-13
0,48,mature upper,18,84,4.666666666666667,66,1.52,13.799999999999999,9.078947368421051,12.28,2.1668777883121493e-13
0,49,mature upper,18,84,4.666666666666667,66,1.52,14.1,9.276315789473683,12.58,1.5179524304187453e-13
0,50,mature upper,19,84,4.421052631578948,65,1.5599999999999998,15.5,9.935897435897436,13.94,2.864375403532904e-14
